Date,Venue,Field,Start,End,League,Home Team,Away Team,Referee,Lineman,Field Judge,Side Judge
07.04.2024,Zurich,Field 1,10:00,11:00,U13,U13 Lake Zurich Red Scorpions,U13 Winterthur Warriors,Phil Lemp,U16 Argovia Pirates,U16 Argovia Pirates,U16 Argovia Pirates
07.04.2024,Zurich,Field 1,11:10,12:10,U13,U13 Bienna Jets,U13 Thun Tigers,Phil Lemp,U16 Winterthur Warriors,U16 Winterthur Warriors,U16 Winterthur Warriors
07.04.2024,Zurich,Field 1,13:30,14:30,U13,U13 Bienna Jets,U13 Lake Zurich Red Scorpions,Zurich Renegades,U16 Zurich Renegades A,U16 Zurich Renegades A,U16 Zurich Renegades A
07.04.2024,Zurich,Field 1,15:50,16:50,U13,U13 Calanda Broncos,U13 Zurich Renegades,Zurich Renegades,Zurich Renegades,Zurich Renegades,Zurich Renegades
07.04.2024,Zurich,Field 2,11:10,12:10,U11,U11 St. Gallen Bears,U11 Zurich Renegades,U13 Lake Zurich Red Scorpions,U13 Winterthur Warriors,U16 Zurich Renegades B,U13 Zurich Renegades
07.04.2024,Zurich,Field 2,13:30,14:30,U13,U13 Rafz Bulldogs,U13 Winterthur Warriors,Phil Lemp,U13 Calanda Broncos,U11 Calanda Broncos,U16 St. Gallen Bears
07.04.2024,Zurich,Field 2,14:40,15:40,U11,U11 Zurich Renegades,U11 Calanda Broncos,Phil Lemp,U13 Rafz Bulldogs,U16 St. Gallen Bears,U16 St. Gallen Bears
07.04.2024,Zurich,Field 2,15:50,16:50,U13,U13 Rafz Bulldogs,U13 Thun Tigers,U16 Lake Zurich Red Scorpions,U16 Lake Zurich Red Scorpions,U16 Lake Zurich Red Scorpions,U16 Lake Zurich Red Scorpions
07.04.2024,Zurich,Field 2,17:00,18:00,U11,U11 St. Gallen Bears,U11 Calanda Broncos,Zurich Renegades,U16 Zurich Renegades B,U16 Zurich Renegades B,U16 Zurich Renegades B
07.04.2024,Zurich,Field 3,10:00,11:00,U16,U16 Zurich Renegades B,U16 Winterthur Warriors,Zurich Renegades,U16 Zurich Renegades A,U11 Zurich Renegades,U11 St. Gallen Bears
07.04.2024,Zurich,Field 3,11:10,12:10,U16,U16 Argovia Pirates,U16 Zurich Renegades A,Zurich Renegades,Zurich Renegades,Zurich Renegades,U13 Bienna Jets
07.04.2024,Zurich,Field 3,15:50,16:50,U16,U16 Argovia Pirates,U16 St. Gallen Bears,Zurich Renegades,Zurich Renegades,Zurich Renegades,Zurich Renegades
