Date	Venue	Field	Start	End	League	Home Team	Away Team	Referee	Lineman	Field Judge	Side Judge
2024-04-07	Zurich	Field 1	10:00	11:00	U13	U13 Lake Zurich Red Scorpions	U13 Winterthur Warriors	Zurich Renegades	U16 Zurich Renegades A	U11 Zurich Renegades	U11 St. Gallen Bears
2024-04-07	Zurich	Field 1	11:10	12:10	U13	U13 Bienna Jets	U13 Thun Tigers	Zurich Renegades	U16 Winterthur Warriors	U16 Winterthur Warriors	U16 Winterthur Warriors
2024-04-07	Zurich	Field 1	13:30	14:30	U13	U13 Bienna Jets	U13 Lake Zurich Red Scorpions	Zurich Renegades	U16 Zurich Renegades A	U16 Zurich Renegades A	U16 Zurich Renegades A
2024-04-07	Zurich	Field 1	15:50	16:50	U13	U13 Calanda Broncos	U13 Zurich Renegades	Zurich Renegades	Zurich Renegades	Zurich Renegades	Zurich Renegades
2024-04-07	Zurich	Field 2	11:10	12:10	U11	U11 St. Gallen Bears	U11 Zurich Renegades	U13 Lake Zurich Red Scorpions	U13 Winterthur Warriors	U16 Zurich Renegades B	U13 Zurich Renegades
2024-04-07	Zurich	Field 2	13:30	14:30	U13	U13 Rafz Bulldogs	U13 Winterthur Warriors	Phil Lemp	U13 Calanda Broncos	U11 Calanda Broncos	U16 St. Gallen Bears
2024-04-07	Zurich	Field 2	14:40	15:40	U11	U11 Zurich Renegades	U11 Calanda Broncos	Phil Lemp	U13 Rafz Bulldogs	U16 St. Gallen Bears	U16 St. Gallen Bears
2024-04-07	Zurich	Field 2	15:50	16:50	U13	U13 Rafz Bulldogs	U13 Thun Tigers	Zurich Renegades	Zurich Renegades	Zurich Renegades	Zurich Renegades
2024-04-07	Zurich	Field 2	17:00	18:00	U11	U11 St. Gallen Bears	U11 Calanda Broncos	Zurich Renegades	U16 Zurich Renegades B	U16 Zurich Renegades B	U16 Zurich Renegades B
2024-04-07	Zurich	Field 3	10:00	11:00	U16	U16 Zurich Renegades B	U16 Winterthur Warriors	Phil Lemp	U16 Argovia Pirates	U16 Argovia Pirates	U16 Argovia Pirates
2024-04-07	Zurich	Field 3	11:10	12:10	U16	U16 Argovia Pirates	U16 Zurich Renegades A	Phil Lemp	Zurich Renegades	Zurich Renegades	U13 Bienna Jets
2024-04-07	Zurich	Field 3	15:50	16:50	U16	U16 Argovia Pirates	U16 St. Gallen Bears	Zurich Renegades	Zurich Renegades	Zurich Renegades	Zurich Renegades
2024-04-27	Rapperswil-Jona	Field 1	9:20	10:20	HARWY CE	CE Winterthur Warriors Cardinal	CE St. Gallen Bears	CE Schottikon Raptors	CE Schottikon Raptors	CE Schottikon Raptors	CE Schottikon Raptors
2024-04-27	Rapperswil-Jona	Field 1	10:30	11:30	HARWY CE	CE Schottikon Raptors	CE Rafz Bulldogs B	CE St. Gallen Bears	CE St. Gallen Bears	CE St. Gallen Bears	CE St. Gallen Bears
2024-04-27	Rapperswil-Jona	Field 1	11:40	12:40	HARWY CE	CE Zurich Renegades C	CE Winterthur Warriors Cardinal	CE Thurgauer Generals	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions
2024-04-27	Rapperswil-Jona	Field 1	12:50	13:50	HARWY CE	CE St. Gallen Bears	CE Lake Zürich Red Scorpions	CE Rafz Bulldogs B	CE Rafz Bulldogs B	CE Rafz Bulldogs B	CE Rafz Bulldogs B
2024-04-27	Rapperswil-Jona	Field 1	14:00	15:00	HARWY CE	CE Thurgauer Generals	CE Schottikon Raptors	CE Zurich Renegades C	CE Zurich Renegades C	CE Rafz Bulldogs B	CE Rafz Bulldogs B
2024-04-27	Rapperswil-Jona	Field 1	16:20	17:20	HARWY CE	CE Zurich Renegades C	CE Rafz Bulldogs B	CE Thurgauer Generals	CE Thurgauer Generals	CE Thurgauer Generals	CE Thurgauer Generals
2024-04-27	Rapperswil-Jona	Field 1	17:30	18:30	HARWY CE	CE Lake Zürich Red Scorpions	CE Thurgauer Generals	CE Zurich Renegades C	CE Zurich Renegades C	CE Zurich Renegades C	CE Zurich Renegades C
2024-04-27	Rapperswil-Jona	Field 2	9:20	10:20	U13	U13 Bienna Jets	U13 Fraumatt Legions Black	U16 Zofingen Cheetahs	U16 Zofingen Cheetahs	U16 Zofingen Cheetahs	U16 Zofingen Cheetahs
2024-04-27	Rapperswil-Jona	Field 2	10:30	11:30	U13	U13 Lake Zurich Red Scorpions	U13 Zurich Renegades	U16 Geneva Seahawks	U16 Geneva Seahawks	U16 Geneva Seahawks	U16 Geneva Seahawks
2024-04-27	Rapperswil-Jona	Field 2	11:40	12:40	U13	U13 Bienna Jets	U13 Calanda Broncos	U16 Winterthur Warriors	U16 Winterthur Warriors	U16 Winterthur Warriors	U16 Winterthur Warriors
2024-04-27	Rapperswil-Jona	Field 2	12:50	13:50	U16	U16 Lake Zurich Red Scorpions	U16 Winterthur Warriors	U13 Calanda Broncos	U13 Calanda Broncos	U13 Bienna Jets	U13 Bienna Jets
2024-04-27	Rapperswil-Jona	Field 2	15:10	16:10	U13	U13 Lake Zurich Red Scorpions	U13 Fraumatt Legions Black	U16 Basel Spartans	U16 Basel Spartans	U16 Basel Spartans	U16 Basel Spartans
2024-04-27	Rapperswil-Jona	Field 2	16:20	17:20	U13	U13 Langenthal Invaders	U13 Zurich Renegades	U16 Gladiators Basel	U16 Gladiators Basel	U16 Gladiators Basel	U16 Gladiators Basel
2024-04-27	Rapperswil-Jona	Field 2	17:30	18:30	U16	U16 Winterthur Warriors	U16 St. Gallen Bears	U16 Lake Zurich Red Scorpions	U16 Lake Zurich Red Scorpions	U16 Lake Zurich Red Scorpions	U16 Lake Zurich Red Scorpions
2024-04-27	Rapperswil-Jona	Field 3	11:40	12:40	U13	U13 Langenthal Invaders	U13 Thun Tigers	U16 Zurich Renegades A	U16 Zurich Renegades A	U16 Zurich Renegades A	U16 Zurich Renegades A
2024-04-27	Rapperswil-Jona	Field 3	12:50	13:50	U13	U13 Rafz Bulldogs	U13 Fraumatt Legions Red	CE Schottikon Raptors	U16 St. Gallen Bears	U16 St. Gallen Bears	U16 St. Gallen Bears
2024-04-27	Rapperswil-Jona	Field 3	14:00	15:00	U16	U16 Basel Spartans	U16 Zurich Renegades A	CE Rafz Bulldogs B	CE Rafz Bulldogs B	U13 Fraumatt Legions Black	U13 Fraumatt Legions Black
2024-04-27	Rapperswil-Jona	Field 3	15:10	16:10	U16	U16 Gladiators Basel	U16 Zofingen Cheetahs	CE Schottikon Raptors	U16 Langenthal Invaders	U16 Langenthal Invaders	U16 Langenthal Invaders
2024-04-27	Rapperswil-Jona	Field 3	16:20	17:20	U13	U13 Calanda Broncos	U13 Winterthur Warriors	CE Winterthur Warriors Cardinal	U16 Zurich Renegades B	U16 Zurich Renegades B	U16 Zurich Renegades B
2024-04-27	Rapperswil-Jona	Field 3	17:30	18:30	U13	U13 Thun Tigers	U13 Fraumatt Legions Red	U13 Winterthur Warriors	U13 Winterthur Warriors	U13 Fraumatt Legions Red	U13 Fraumatt Legions Red
2024-04-27	Rapperswil-Jona	Field 4	9:20	10:20	U16	U16 Argovia Pirates	U16 Geneva Seahawks	U13 Zurich Renegades	U13 Zurich Renegades	U13 Thun Tigers	U13 Thun Tigers
2024-04-27	Rapperswil-Jona	Field 4	10:30	11:30	U16	U16 Zofingen Cheetahs	U16 Zurich Renegades A	CE St. Gallen Bears	U16 Lugano Rebels	U16 Lugano Rebels	U16 Lugano Rebels
2024-04-27	Rapperswil-Jona	Field 4	11:40	12:40	U16	U16 Argovia Pirates	U16 Lugano Rebels	CE Thurgauer Generals	CE Thurgauer Generals	U13 Rafz Bulldogs	U13 Rafz Bulldogs
2024-04-27	Rapperswil-Jona	Field 4	14:00	15:00	U16	U16 Geneva Seahawks	U16 St. Gallen Bears	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal	U13 Lake Zurich Red Scorpions	U13 Lake Zurich Red Scorpions
2024-04-27	Rapperswil-Jona	Field 4	15:10	16:10	U16	U16 Langenthal Invaders	U16 Zurich Renegades B	U16 Argovia Pirates	U16 Argovia Pirates	CE Lake Zürich Red Scorpions	CE Lake Zürich Red Scorpions
2024-04-27	Rapperswil-Jona	Field 4	16:20	17:20	U16	U16 Lake Zurich Red Scorpions	U16 Lugano Rebels	CE St. Gallen Bears	CE St. Gallen Bears	U13 Langenthal Invaders	U13 Langenthal Invaders
2024-04-27	Rapperswil-Jona	Field 4	17:30	18:30	U16	U16 Basel Spartans	U16 Gladiators Basel	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal	CE Winterthur Warriors Cardinal
2024-05-05	Worb	Field 1	9:20	10:20	HARWY CN	CN Aemme Buzzards I	CN Zurich Renegades B	Andreas Capeder	CSW Blackbucks Uni Bern Black	CSW Blackbucks Uni Bern Black	CSW Blackbucks Uni Bern Black
2024-05-05	Worb	Field 1	10:30	11:30	HARWY CSW	CSW Aemme Buzzards II	CSW Blackbucks Uni Bern Black	Andreas Capeder	CN Fraumatt Legions	CN Fraumatt Legions	CN Fraumatt Legions
2024-05-05	Worb	Field 1	11:40	12:40	HARWY CN	CN Fraumatt Legions	CN Zofingen Cheetahs	CSW Lugano Rebels	CSW Lugano Rebels	CSW Lugano Rebels	CSW Lugano Rebels
2024-05-05	Worb	Field 1	12:50	13:50	HARWY CN	CN Aemme Buzzards I	CN Argovia Pirates	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs
2024-05-05	Worb	Field 1	14:00	15:00	HARWY CSW	CSW Aemme Buzzards II	CSW Lugano Rebels	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White	CN Blackbucks Uni Bern White
2024-05-05	Worb	Field 1	15:10	16:10	HARWY CN	CN Zofingen Cheetahs	CN Argovia Pirates	CSW Lugano Rebels	CN Fraumatt Legions	CN Fraumatt Legions	CN Fraumatt Legions
2024-05-05	Worb	Field 1	16:20	17:20	U16	U16 St. Gallen Bears	U16 Zurich Renegades B	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I
2024-05-05	Worb	Field 1	17:30	18:30	U16	U16 Gladiators Basel	U16 Lake Zurich Red Scorpions	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs	CN Zofingen Cheetahs
2024-05-05	Worb	Field 2	9:20	10:20	HARWY CN	CN Blackbucks Uni Bern White	CN Basel Barbarians	CSW Aemme Buzzards II	CSW Aemme Buzzards II	CSW Aemme Buzzards II	CSW Aemme Buzzards II
2024-05-05	Worb	Field 2	10:30	11:30	HARWY CSW	CSW Thun Tigers	CSW Lugano Rebels	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I	CN Aemme Buzzards I
